 站点名称,线路 ,lat,lng,town
 博爱广场,263、286A、南高01、南高17、南高19、南高21、南高22 ,23.117212,112.993911,狮山镇,科技北路
 碧华村,沥10 ,23.100632,113.205689,大沥镇,高岗六巷
 壁堂桥（原九江影剧院）,江01、江01支线 ,22.832128,113.012028,九江镇,儒林东路
 伯奇桥,沥08 ,23.13955,113.183262,大沥镇,伯奇路
 碧湖,里13 ,23.171516,113.152907,里水镇,碧湖路
 博爱路中,南高25 ,23.11867,113.033071,狮山镇,博爱东路
 博爱虹岭路口,沥16、南高25 ,23.121591,113.061132,狮山镇,博爱东路
 博爱科韵路口,南高25 ,23.119447,113.026862,狮山镇,博爱东路
 博爱贤谭路口,沥01、沥13 ,23.121221,113.073209,大沥镇,博爱东路
 博爱罗穆路口,南高14、南高18、南高25 ,23.121033,113.013957,狮山镇,博爱中路
 不求梁村,樵06 ,22.91221,112.923329,西樵镇,S363
 财政大厦,226 ,23.014526,113.098462,石湾镇街道,季华五路
 布新,244、259 ,23.21904,113.100077,狮山镇,S361(里官路)
 渤海路中,沥07 ,23.115925,113.175233,大沥镇,渤海路
 彩滨北路,里7B ,23.176337,113.205683,金沙街道,彩滨北路
 曹边,211、219、236、248、251、259、280 ,23.085625,113.097862,大沥镇,东二路
 彩虹新村,280 ,23.048921,113.119297,祖庙街道,文庆路
 曹边工业区,沥03 ,23.08534,113.095211,大沥镇,曹边工业二区大道
 曹边工业三区,沥03 ,23.081008,113.093015,大沥镇,东南新村大道
 曹边牌坊,沥03 ,23.088002,113.097457,大沥镇,曹边大道
 草场村,里10 ,23.198075,113.195266,里水镇,草场大道
 草场工业区,里07、里07短线、里10、里7B ,23.190569,113.186176,里水镇,X516(里广路)
 曹边社区,沥03 ,23.08763,113.095613,大沥镇,工业二区大道
 草场工业园,里7B ,23.190569,113.186175,里水镇,X516(里广路)
 草场,里07、里07短线、里10B、里7B ,23.188694,113.18897,里水镇,里广路
 草暖公园,244、252、里15、南高06B、南高07、南高20、南高21 ,23.223891,113.068029,狮山镇,瑶平路辅路
 草塘村,沥07 ,23.099595,113.096539,大沥镇,广佛新干线
 草场居委会,里10 ,23.189757,113.190019,里水镇,佛山市大道
 岑二村,樵05 ,22.904823,112.947691,西樵镇,
 岑岗站,0223 ,23.234455,113.10099,里水镇,S267(桂和路)
 岑一村,樵05 ,22.906002,112.948899,西樵镇,
 茶博城,沥07 ,23.111693,113.174844,大沥镇,渤海路
 曾秩和纪念初级中学,江05支线 ,22.826799,113.013458,九江镇,南乡路南
 茶亭,206、251、桂26 ,23.017636,113.085955,张槎街道,江湾二路
 茶基村,桂13、沥09 ,23.05528,113.120053,桂城街道,文华北路
 禅城区国税局,227A、255A、桂30 ,23.004298,113.100766,石湾镇街道,绿景一路
 禅城区卫生监督所,205、280、桂24 ,23.03969,113.118929,祖庙街道,市东上路
 禅城区政府,桂30 ,23.011116,113.117732,石湾镇街道,岭南大道
 禅炭路口,南高02支线 ,23.173535,113.085763,狮山镇,桃园大道
 禅炭吴屋村口,南高15 ,23.204482,113.073281,狮山镇,X493(永安大道西)
 朝山工业区,江05 ,22.8725,112.960604,九江镇,龙高路辅路
 朝星路口,樵03 ,22.908964,112.967124,西樵镇,X510(环山大道)
 朝山公园,樵03 ,22.886791,112.976243,西樵镇,
 朝阳路西,丹12 ,23.098093,112.867805,丹灶镇,桐林路
 村口,桂03 ,23.014304,113.15194,桂城街道,桂业路
 朝阳路口,0202 ,23.221835,113.215814,石门街道,石沙路
 朝阳路东,丹12 ,23.09548,112.880843,丹灶镇,朝阳路
 村头村总站,樵17 ,23.025121,112.993543,南庄镇,大街
 大岸村口,樵07 ,22.982825,112.959002,西樵镇,东西三线
 大岸路口,212、256、丹16、樵07 ,22.976901,112.968685,西樵镇,S113(樵金中路)
 大步创业路,里12 ,23.143213,113.146639,里水镇,大步创业路
 大岸南坊村,樵07 ,22.981544,112.962872,西樵镇,东西三线
 大步村委,里11 ,23.137921,113.152355,里水镇,大步创业路
 大步大江村,里12 ,23.140773,113.146124,里水镇,大步创业路
 大步工业路,里12 ,23.144899,113.152193,里水镇,大步工业路
 大步横三路,里12 ,23.144834,113.147797,里水镇,大步横三路
 大步工业区路口,里11、里12 ,23.142099,113.15604,里水镇,大步路
 大步横二路口,里12 ,23.146218,113.149231,里水镇,大步工业路
 大槎村站,樵09支线 ,23.035169,113.079383,张槎街道,大沙路
 大槎站,樵09 ,22.875044,112.883484,九江镇,X517(常安路)
 大冲联兴工业区,里01 ,23.161914,113.127732,里水镇,大冲工业区路
 大冲工业区路口,208、238、248、里01 ,23.16,113.129901,里水镇,大冲工业区路
 大冲桥,238 ,23.149323,113.126535,里水镇,大冲桥
 大冲市场,208、222、238、248 ,23.153474,113.126982,里水镇,X513(大甘路)
 大甫工业区,里10 ,23.191692,113.128885,里水镇,西线东路辅路
 大谷村委会,江01支线 ,22.831187,113.03827,九江镇,上东三村路
 大岗圩,樵10 ,22.977525,112.915972,西樵镇,大岗东路
 大冲站,里01 ,23.156345,113.128686,里水镇,X513(联江路)
 大甫村,里10 ,23.026853,113.043749,张槎街道,商业街
 大谷斋塘路口,江01支线 ,22.827439,113.034682,九江镇,上东三村路
 大谷工业区,江01支线 ,22.835366,113.041059,龙江镇,G1501(南二环高速)
