 市场名称,市场地址,序号,所属社区名称,服务时间,类别名,联系电话,邮政编码,镇街 ,lat,lng,town
 佛山市南海龙丰商贸城,佛山市南海区狮山镇松岗龙头松石路龙头路段,93,龙头社区,5：00—19：00,农贸市场,88370131,528234,狮山 ,23.165777,113.112357,狮山镇,Y399(松石路)
 佛山市南海区狮山广场大利市场,佛山市南海区狮山镇狮城路穆院村察美村,101,狮城社区,6：00——19：00,农贸市场,81207888,528225,狮山 ,23.126822,113.005662,狮山镇,政协路
 佛山市南海区海连天综合市场,佛山市南海区狮山镇松岗桃园二路1号海连天综合市场57号商铺,98,城北社区,5：00—19：00,农贸市场,85231028,528234,狮山 ,23.147135,113.094307,狮山镇,富民路
 佛山市南海区元岗日昌市场,佛山市南海区狮山镇松岗万石村委会元岗村工业园日昌市场38号铺,99,万石社区,5：00—19：00,农贸市场,85207390,528234,狮山 ,23.185562,113.078531,狮山镇,X493(松岗大道)
 佛山市南海区松岗山南李边市场,佛山市南海区松岗沿江南路李边村民小组商铺A,100,山南社区,5：00—19：00,农贸市场,85231860,528234,狮山 ,23.143001,113.0963,狮山镇,建设路
 佛山市南海区狮山信德综合市场,佛山市南海区狮山镇狮山办事处华涌321国道边,102,狮山华涌社区,5：00——20：00,农贸市场,86682229,528225,狮山 ,23.129466,112.997968,狮山镇,红星一路
 佛山市南海区小塘燊星综合市场,佛山市南海区狮山镇小塘办事处五星工业区（杨坊村）,105,五星村委会,7：00——19：00,农贸市场,86668310,528222,狮山 ,23.0936,112.978394,狮山镇,X514(三环东路)
 佛山市南海区狮山新城塘新市场,佛山市南海区狮山镇小塘办事处狮山新城开发区,104,塘中居委,6：00——19：00,农贸市场,86630346,528223,狮山 ,23.0936,112.978394,狮山镇,X514(三环东路)
 佛山市南海区小塘协丰市场,佛山市南海区狮山镇小塘永安路80-85号,106,塘中居委,5：00——20：00,农贸市场,86669466,528222,狮山 ,23.094353,112.973019,狮山镇,永安路
 佛山市南海区狮山恒兴综合市场,佛山市南海区狮山镇狮山工业园创业路南侧13号,103,塘头村委会,5：00——20：00,农贸市场,86690398,528225,狮山 ,23.094351,112.996885,狮山镇,创业路
 高边市场,佛山市南海区高边村委会侧,107,高边村委会,6：00--20：00,农贸市场,85576885,528231,狮山 ,23.12507,113.087315,狮山镇,高北大道
 官窑大榄市场,佛山市南海区狮山镇官窑大榄圩,108,大榄社区,8:00-22:00,农贸市场,13078168420,528237,狮山 ,23.19654,113.02879,狮山镇,大榄墟直街
 官西市场,佛山市南海区狮山镇官窑官窑村,109,官窑社区,8:00-22:00,农贸市场,85887512,528237,狮山 ,23.228813,113.065132,狮山镇,石市路
 官窑盛桃市场,佛山市南海区狮山镇官窑黎岗黎南村“大岗元口”李铭新商铺A31号铺,110,黎岗村委,8:00-22:00,农贸市场,85802728,528237,狮山 ,23.202617,113.085843,狮山镇,礼南村十二巷
 狮山白沙桥市场,佛山市南海区狮山镇白沙桥村内,112,白沙桥村委,6：00——20：00,农贸市场,无,528226,狮山 ,23.087627,113.01273,狮山镇,兆基路
 佛山市南海区松岗显子岗显东村市场,佛山市南海区松岗显子岗南国桃园西门口路段,111,显子岗社区,5：00—19：00,农贸市场,85221027,528234,狮山 ,23.16962,113.085746,狮山镇,X493(松岗大道)
 佛山市南海区狮山科技工业园A区市场,佛山市南海区狮山镇科技园科技大道28号,113,塘头村委会,6：00——19：00,农贸市场,81207888,528222,狮山 ,23.104502,113.010041,狮山镇,科技大道
 狮山穆院市场,佛山市南海区狮山镇穆院村穆北村小组,114,穆院村委会,7：00——20：00,农贸市场,无,528226,狮山 ,23.128234,113.015069,狮山镇,S263(广云路)
 佛山市南海区狮山盈信综合市场,佛山市南海区狮山镇狮北村“小广西”（狮北工业园）,115,狮北村委会,5：00——20：00,农贸市场,81201868,528222,狮山 ,23.175459,112.973472,狮山镇,X512(银狮路)
 小塘狮西市场,佛山市南海区狮山镇狮西村委会开发区,116,狮西村委会,6：00——19：00,农贸市场,86630448,528222,狮山 ,23.18767,112.951375,狮山镇,
 狮山塘头市场,佛山市南海区狮山镇塘头塘二村民小组,117,塘头村委会,7：00——19：00,农贸市场,86690977,528226,狮山 ,23.100221,113.013663,狮山镇,南街
 小塘曾家润丰市场,佛山市南海区狮山镇新境村,118,新境村委会,7：00——19：00,农贸市场,86637779,528222,狮山 ,23.070159,112.977784,狮山镇,X515(小塘工业大道)
 小塘新境市场,佛山市南海区狮山镇新境村,119,新境村委会,5：00——24：00,农贸市场,无,528222,狮山 ,23.07668,112.976528,狮山镇,X515(小塘工业大道)
 狮山北区商业广场,佛山市南海区狮山镇兴业北路旁,120,狮中村委会,9：00——22：00,农贸市场,86699079,528222,狮山 ,23.124953,113.002144,狮山镇,博爱路
 狮山招大市场,佛山市南海区狮山镇招大社区招大路,121,招大社区,6：00——10：30,农贸市场,86698277,528226,狮山 ,23.093108,113.029964,狮山镇,Y115(招大路)
 佛山市南海区里水商贸中心市场,佛山市南海区里水镇夏塘路41号,122,里水社区,6:00——20:30,农贸市场,85683668,528244,里水 ,23.1996,113.152675,里水镇,夏塘路
 佛山市南海区里水铜锣湾市场,佛山市南海区里水镇和顺花园大道38号,123,和顺社区,6:00——20:30,农贸市场,85113208,528244,里水 ,23.187531,113.155164,里水镇,石荣路
 佛山市南海区和顺金泰市场,佛山市南海区里水镇和顺大道26号之一,124,金和社区,6:00——20:30,农贸市场,85113208,528244,里水 ,23.248265,113.131815,里水镇,里和路
 佛山市南海区里水白岗市场,佛山市南海区里水镇白岗村堂白路,125,白岗村委会,6:00——20:30,农贸市场,13516508136,528244,里水 ,23.236111,113.141854,里水镇,棠白路
 佛山市南海区里水太行市场,佛山市南海区里水镇新联村太行129号,126,里水社区,6:00——20:30,农贸市场,85666678,528244,里水 ,23.195985,113.163931,里水镇,里广路
 颜峰市场,佛山市南海区颜峰大道侧,87,颜峰村委会,6：00--20：00,农贸市场,85501579,528231,狮山 ,23.128953,113.077053,狮山镇,建设二路
 佛山市南海区里水宏岗市场,佛山市南海区里水镇中心大街2号,127,宏岗村委会,6:00——20:30,农贸市场,13630162639,528244,里水 ,23.229053,113.139852,里水镇,里和路
 佛山市南海区官窑南门二市场,佛山市南海区狮山镇官窑起凤东路8号,89,七甫社区,8:00-22:00,农贸市场,85899338,528237,狮山 ,23.22971,113.078176,狮山镇,起凤东路
 佛山市南海区官窑小榄市场,佛山市南海区狮山镇官窑小榄圩铺,90,刘边村委,8:00-22:00,农贸市场,13415528881,528237,狮山 ,23.172976,112.998736,狮山镇,X512(官华路)
 佛山市南海官窑润和市场,佛山市南海区狮山镇瑶平路北侧,91,凤源社区,8:00-22:00,农贸市场,81191208,528237,狮山 ,23.22772,113.080551,狮山镇,永安大道
 佛山市南海区里水大朗市场,佛山市南海区里水镇里官路大朗路口,128,得胜村委会,6:00——20:30,农贸市场,81060337,528244,里水 ,23.212794,113.135905,里水镇,里水大道
 佛山市南海区里水大冲市场,佛山市南海区里水镇大冲大甘路1号内,129,大冲社区,6:00——20:30,农贸市场,85683668,528244,里水 ,23.153909,113.126679,里水镇,X513(联江路)
 佛山市南海区里水甘蕉市场,佛山市南海区里水甘蕉和同,130,甘蕉社区,6:00——20:30,农贸市场,85667141,528244,里水 ,23.171603,113.139575,里水镇,里水大道
 佛山市南海区里水北沙市场,佛山市南海区里水北沙鹤暖岗村,132,北沙村委会,6:00——20:30,农贸市场,18925998881,528244,里水 ,23.2377,113.104536,里水镇,鹤峰大道
 佛山市南海区里水岗联康和综合市场,佛山市南海区里水镇岗联乡新庄村,133,岗联村委会,6:00——20:30,农贸市场,13927738095,528244,里水 ,23.202444,113.10847,里水镇,西线路
 佛山市南海区里水镇沙涌市场,佛山市南海区里水镇沙涌管理区,134,沙涌社区,6:00——20:30,农贸市场,85668402,528244,里水 ,23.201026,113.158807,里水镇,新兴路
 佛山市南海区里水草场市场,佛山市南海区里水草场村草场大道,131,草场社区,6:00——20:30,农贸市场,18922168828,528244,里水 ,23.187531,113.155164,里水镇,石荣路
 佛山市南海区丹灶鸿发农贸市场,佛山市南海区丹灶镇富民路8号,136,丹灶社区,4：00——21:00,农贸市场,85444202,528216,丹灶 ,23.040849,112.911212,丹灶镇,富民路
 佛山市南海区里水镇洲村综合市场,佛山市南海区里水洲村桥头大街,135,洲村社区,6:00——20:30,农贸市场,85620632,528244,里水 ,23.185735,113.19283,里水镇,里广路
 佛山市南海区金沙泰安市场,佛山市南海区金沙联沙开发区A座,137,联沙社区,4：00——21:00,农贸市场,86613627,528223,丹灶 ,23.019326,113.117382,祖庙街道,岭南大道
