 镇街,名称,所属社区,类别名,地址,邮编,服务时间 ,lat,lng,town
 桂城,佛山市南海区桂城好好多生鲜街市,万馨居委,农贸市场,桂城街道平三路城东工业园A5地块（4座）,528200,6：00——20：00 ,23.027668,113.164046,桂城街道,平海路
 桂城,佛山市南海区桂城桂花市场,桂二社区,农贸市场,南海区桂城长堤路,528200,6：00——20：00 ,23.033551,113.133305,桂城街道,长堤路
 桂城,佛山市南海区桂城东方市场,平北社区,农贸市场,夏平路北侧,528251,3:30——12：00 ,23.03704,113.138438,桂城街道,桂城镇东约区新邨大街
 桂城,佛山市南海超益农贸市场,叠北社区,农贸市场,桂城南一路,528200,5:00——21:00 ,23.03704,113.138438,桂城街道,桂城镇东约区新邨大街
 桂城,佛山市南海区桂城雄洲市场,叠北社区,农贸市场,桂城叠北村,528200,5:00——21:00 ,23.03704,113.138438,桂城街道,桂城镇东约区新邨大街
 桂城,佛山市南海区桂城泛阳新街市场,石肯四村,农贸市场,佛山市南海区桂城石 四村西新孖堂,528200,6：00——20：00 ,23.03704,113.138438,桂城街道,桂城镇东约区新邨大街
 桂城,佛山市南海区桂城街林岳综合市场,林岳,农贸市场,南海区桂城平洲林岳,528251,6：00——20：00 ,23.03704,113.138438,桂城街道,桂城镇东约区新邨大街
 桂城,佛山市南海桂城平西日兴市场,平西居委,农贸市场,平西大道,528200,6：00——20：00 ,23.024775,113.188095,桂城街道,平西街
 桂城,佛山市南海区桂城平洲平顺综合市场,东平,农贸市场,南海区桂城平洲中区环岛大道东侧,528251,6：00——20：00 ,23.031007,113.214799,桂城街道,东边大街
 桂城,佛山市南海区桂城叠南汇泉农贸市场,叠南社区,农贸市场,桂城文华北50号首层,528200,5:00——21:00 ,23.03704,113.138438,桂城街道,桂城镇东约区新邨大街
 桂城,佛山市南海区桂城西约华兴市场,西约社区,农贸市场,桂城南五路东,528200,5:00——21:00 ,23.045047,113.140395,桂城街道,环山路
 桂城,佛山市南海区桂城雷岗永盛市场,南约社区,农贸市场,桂城佛平二路,528200,6：00——20：00 ,23.03704,113.138438,桂城街道,桂城镇东约区新邨大街
 桂城,佛山市南海区桂城叠南乐庆市场,叠南社区,农贸市场,桂城南一路,528200,6：00——20：00 ,23.03704,113.138438,桂城街道,桂城镇东约区新邨大街
 桂城,佛山市南海桂城平洲市场,江滨社区,农贸市场,桂城平洲永安中路,528200,6：00——20：00 ,23.031854,113.204506,桂城街道,新市场中路
 桂城,佛山市南海区桂城平洲平南市场,平南,农贸市场,南海区桂城平洲平南梅园,528200,6：00——20：00 ,23.026154,113.194018,桂城街道,佛平五路
 罗村,佛山市南海区罗村罗湖市场,罗湖社区,农贸市场,佛山市南海区罗村罗湖区新湖二路,525226,6：00——20：00 ,23.059916,113.044964,狮山镇,新湖二路
 罗村,佛山市南海区罗村海宜市场,芦塘社区,农贸市场,佛山市南海区罗村芦塘村“小伙岗”地段,525226,6：00——19：00 ,23.066734,113.045484,狮山镇,状元路
 罗村,佛山市南海区罗村街边昌荣市场,街边社区,农贸市场,佛山市南海区狮山镇罗村街边,525226,5：30——22：30 ,23.039285,113.067304,张槎街道,昌荣二街
 罗村,佛山市南海区罗村金湖农贸市场,罗湖社区,农贸市场,佛山市南海区狮山镇罗村城西区长庚路,525226,6：00——18：00 ,23.062094,113.036766,狮山镇,金湖美食街
 罗村,佛山市南海区罗村务庄德银市场,务庄社区,农贸市场,佛山市南海区罗村务庄穗丰村外朗,525226,7：00——20：00 ,23.047735,113.018072,狮山镇,Y109(罗务路)
