 名称,许可证号,许可证有效期,地址,经营项目,经营方式,食品类型,主题类型 ,lat,lng,town
 佛山市南海区袁霞粮油店,SP4406821350081810,06/30/2014,佛山市南海区大沥镇盐步联安恒地商贸城南08号,预包装食品、散装食品,零售, , ,23.112067,113.104895,大沥镇,新城大道辅路
 佛山市南海区奉记日杂店,SP4406821350082111,12/09/2016,佛山市南海区狮山镇官窑新和圩（小食店）,预包装食品,零售, , ,23.124953,113.002144,狮山镇,博爱路
 佛山市南海区松岗秋高商店,SP4406821050176538,12/08/2016,佛山市南海区松岗山南岐阳工业区南区三路,预包装食品,零售, , ,23.147192,113.096797,狮山镇,松岗大道
 佛山市南海区桂城兴民杂货店,SP4406821350082218,12/10/2016,佛山市南海区桂城街岗社区西约福庆121号首层之一,预包装食品,零售, , ,23.071515,113.140423,大沥镇,南七路
 佛山市南海区葡萄轩西饼屋,SP4406821350081973,12/08/2016,佛山市南海区九江镇沙头工业园新兴村口佛山市允盈土木工程有限公司A座综合楼楼下电房前边铺位,预包装食品、散装食品,零售, , ,22.901481,113.02868,九江镇,工业大道南
 佛山市南海区松岗犊佳百货商店,SP4406821150180438,12/08/2016,佛山市南海区狮山镇松岗石泉铁坑团结里57号商铺,预包装食品、乳制品,零售, , ,23.124953,113.002144,狮山镇,博爱路
 佛山市南海区丹灶犇淼牛奶店,SP4406821350044691,02/06/2016,佛山市南海区丹灶镇有为大道11号首层2号铺,乳制品,零售, , ,23.041465,112.911234,丹灶镇,有为大道
 佛山市南海区蛋糕小姐蛋糕店,SP4406821350082460,12/12/2016,佛山市南海区桂城街道季华七路2号怡翠玫瑰园26-28座1层P108铺,预包装食品,零售, , ,23.012569,113.1404,石湾镇街道,季华七路
 佛山市南海九江利忠百货商店,SP4406821150181158,12/05/2016,佛山市南海区九江镇河清四村下区小组四村下区工业区商铺,预包装食品、散装食品,零售, , ,22.852577,112.94844,九江镇,河清四村大道
 佛山市南海区天宫绿港贸易有限公司,SP4406821310082512,12/12/2016,佛山市南海狮山镇博爱中路61号和信商业广场一层1C006号铺,预包装食品、散装食品、乳制品,批发兼零售, , ,23.12443,112.999723,狮山镇,红星北路
 佛山市南海区大源商店,SP4406821350082808,12/17/2016,佛山市南海区里水镇北沙鹿眠村东六巷1号首层,预包装食品、散装食品、乳制品,零售, , ,23.12363,113.089054,大沥镇,门口田新区东西大街
 佛山市南海区安杰商行,SP4406821350081965,12/08/2016,佛山市南海区九江镇沙头工业园B区谭锦昌厂房A商铺,预包装食品,零售, , ,22.903643,113.032352,九江镇,S269(沙龙路)
 佛山市南海区平洲诚君杂货店,SP4406821050173179,12/03/2016,佛山市南海区平洲平北大德围平七路二座永兴楼北1号铺,预包装食品,零售, , ,23.035587,113.193411,桂城街道,大德路
 深圳市中联大药房有限公司佛山南海大沥分店,SP4406821110217976,09/06/2014,佛山市南海区大沥镇广佛路与工业路交叉处东南角新都会广场负一层（润良公司）18号柜位,预包装食品,零售, , ,23.112948,113.118413,大沥镇,工业大道
 佛山市南海区大沥嘉全食品商行,SP4406821350081502,06/30/2014,佛山市南海区大沥大发市场中排104号商铺,预包装食品、乳制品,批发兼零售, , ,23.109734,113.124559,大沥镇,广佛路
 佛山市南海区荟雅百货商行,SP4406821350081908,12/05/2016,佛山市南海区大沥雅瑶大道市场西,预包装食品,零售, , ,23.112482,113.116558,大沥镇,振兴路
 佛山市南海邹小锋便利店,SP4406821350082509,12/12/2016,佛山市南海区小塘321国道狮山新城路段城辉加油站内,预包装食品、乳制品,零售, , ,23.14423,112.94089,狮山镇,S263(广云路)
 佛山市南海区大沥明英百货店,SP4406821350081801,12/05/2016,佛山市南海区大沥镇盐步河西兴隆村东122号,预包装食品、散装食品、乳制品,批发兼零售, , ,23.083398,113.162101,大沥镇,佛山一环辅路
 佛山市南海区官窑林新花杂货档,SP4406821050174585,11/13/2016,佛山市南海区官窑瑶平路北侧润和商业广场C座首层C18号铺,预包装食品,零售, , ,23.225812,113.070713,狮山镇,窑平路
 佛山市南海每天宾馆,SP4406821310081745,12/05/2016,佛山市南海区狮山兴贤村老坑地段二、三层,预包装食品,零售, , ,23.124749,113.072178,狮山镇,兴贤大道
 佛山市南海区里水年沣酒行,SP4406821350079433,11/17/2016,佛山市南海区里水镇大冲工业区路口“车边步”首层2号商铺,预包装食品,批发兼零售, , ,23.17044,113.127497,里水镇,环江东路
 佛山市南海区水墨丹青茶行,SP4406821350081730,12/05/2016,佛山市南海区狮山镇虹岭四路33号金棕榈湾3栋11号铺,预包装食品、散装食品,零售, , ,23.103652,113.057449,狮山镇,
 佛山市南海区里水龙恒茶庄,SP4406821350082701,12/16/2016,佛山市南海区里水镇得胜南隅村十巷1号首层,预包装食品,批发兼零售, , ,23.213158,113.149069,里水镇,得胜通道
