 名称,地址,服务时间,类型,联系电话等,许可证号,许可证有效期 ,lat,lng,town
 佛山市南海区西樵燕芳小食店,佛山市南海区西樵太平管理区市场南侧国泰街2号, ,快餐店, ,粤餐证字2013440605002258,2016-06-16 00:00:00.0 ,22.931583,112.910564,西樵镇,胜意街
 狮山镇人民政府机关饭堂（小塘交管楼饭堂）,佛山市南海区狮山镇小塘三环西路交管楼负一层, ,食堂, ,粤餐证字2013440605002269,2016-06-18 00:00:00.0 ,23.106169,112.967859,狮山镇,三环西路辅路
 佛山市南海区西樵银龙茶艺馆,佛山市南海区西樵镇崇南村大德综合城4座404至408铺, ,大型餐馆, ,粤餐证字2013440605002263,2014-08-16 00:00:00.0 ,22.966425,112.963149,西樵镇,顺群路
 佛山市南海区新趣酒楼,佛山市南海区狮山镇广云路高边张边路段, ,中型餐馆, ,粤餐证字2013440605002213,2016-06-06 00:00:00.0 ,23.124953,113.002144,狮山镇,博爱路
 佛山市南海大沥盐步嘉顺华女面馆,佛山市南海区大沥镇盐步华夏东苑1号盐步游泳场7号商铺, ,小吃店, ,粤餐证字2013440605002243,2016-06-13 00:00:00.0 ,23.10018,113.172349,大沥镇,华夏商业街
 佛山市南海区鸣翠饮食店,佛山市南海区狮山镇官窑瑶平路北侧商铺1号二楼1号铺, ,大型餐馆, ,粤餐证字2013440605002281,2016-06-19 00:00:00.0 ,23.22772,113.080551,狮山镇,永安大道
 佛山市南海区水墨徽州私房菜馆,佛山市南海区桂城街道南新一路石桥侧商铺（东二文化中心首层）, ,中型餐馆, ,粤餐证字2013440605002295,2015-04-16 00:00:00.0 ,23.162283,112.893964,西南街道,月桂一路
 佛山市南海将太十八本日式餐馆,佛山市南海区盐步穗盐西路“园洲”地段依之妮内衣有限公司厂房首层2-4号铺, ,小型餐馆, ,粤餐证字2013440605002291,2016-06-23 00:00:00.0 ,23.094182,113.161118,大沥镇,穗盐西路
 佛山市南海区蛇王兄饮食店,佛山市南海区桂城街道灯湖西路20号保利水城2栋15铺A1号, ,小吃店, ,粤餐证字2013440605002294,2016-06-23 00:00:00.0 ,23.062406,113.143216,桂城街道,海七路
 佛山市南海区浸记美食店,佛山市南海区桂城石桂澜路D7区最南面地段A16＃、A17＃铺位, ,中型餐馆, ,粤餐证字2013440605002303,2016-06-24 00:00:00.0 ,23.03704,113.138438,桂城街道,桂城镇东约区新邨大街
 佛山市南海区桂城济兴凉茶店,佛山市南海区桂城街道天佑六路南约一区24号地铺, ,饮品店（凉茶店）, ,粤餐证字2013440605002327,2016-06-30 00:00:00.0 ,23.01851,113.209481,桂城街道,宝翠路
 佛山市南海区宏胜图餐饮有限公司,佛山市南海区桂城街道怡海路南海壹品广场12号楼01号铺, ,大型餐馆, ,粤餐证字2013440605002328,2016-06-30 00:00:00.0 ,23.022549,113.156595,桂城街道,怡海路
 佛山市南海大沥杏田苑美食店,佛山市南海区大沥沥北坎东村, ,大型餐馆, ,粤餐证字2013440605002311,2016-06-24 00:00:00.0 ,23.112482,113.116558,大沥镇,振兴路
 佛山市南海南樵宏八饭店,佛山市南海区西樵山根莘村廖家, ,大型餐馆, ,粤餐证字2013440605002405,2016-07-14 00:00:00.0 ,22.932934,112.973791,西樵镇,
 佛山市南海区唐圆餐厅,佛山市南海区狮山镇狮山广场D座一层06号铺, ,快餐店, ,粤餐证字2013440605002347,2016-07-01 00:00:00.0 ,23.126844,113.004924,狮山镇,狮城路辅路
