 名称,许可证号,许可证有效期,地址,类型 ,lat,lng,town
 佛山市南海欧丰专业照明有限公司,粤餐证字2013440605002542,2016-08-05,佛山市南海区里水镇西线路甘蕉工业区78号,食堂 ,23.178454,113.135388,里水镇,西线东路
 佛山市南海区山湖小厨餐厅,粤餐证字2013440605002541,2016-08-05,佛山市南海区里水镇和顺中信山语湖馨竺苑（A5-2）2座101、102,小型餐馆 ,23.273503,113.116493,里水镇,美景大道
 佛山市南海区美品堂美食坊,粤餐证字2013440605002543,2015-11-29,佛山市南海区桂城街道南桂东路25号之三号商铺,中型餐馆 ,23.035127,113.138693,桂城街道,南桂东路
 佛山市南海区陈玉堂小吃店,粤餐证字2013440605002544,2016-08-05,佛山市南海区桂城花苑路1号2幢101号商铺（原花苑广场4号楼）之三,小吃店 ,23.035029,113.146132,桂城街道,花苑广场中路
 佛山市南海区松岗谊苑美食店,粤餐证字2013440605002545,2016-08-05,佛山市南海区狮山镇松岗大道48号,小型餐馆 ,23.143293,113.099552,狮山镇,松岗大道
 佛山市南海区狮山百兴湖餐厅,粤餐证字2013440605002548,2016-08-05,佛山市南海区狮山镇塘头岭贝村口,大型餐馆 ,23.124953,113.002144,狮山镇,博爱路
 佛山市南海区圣泉凉茶店,粤餐证字2013440605002546,2016-08-05,佛山市南海区狮山镇松岗桃园一路8号恒盛轩1幢1号铺,饮品店（凉茶店） ,23.147051,113.095372,狮山镇,桃园一路
 佛山市南海大颖塑材有限公司,粤餐证字2013440605002547,2016-08-05,佛山市南海区狮山镇松岗联表村,食堂 ,23.147192,113.096797,狮山镇,松岗大道
 佛山市南海样板农桩饮食店,粤餐证字2013440605002550,2016-08-05,佛山市南海区狮山镇官窑群岗大塘村桂和路以西（土名：大元竹基）自编1号,中型餐馆 ,23.22772,113.080551,狮山镇,永安大道
 佛山市南海区鸿詹餐饮有限公司,粤餐证字2013440605002552,2016-08-06,佛山市南海区桂城街道紫金城1号楼A-8号铺,大型餐馆 ,22.850428,113.253854,大良街道,和桂路
 佛山市南海区西樵辉乐旅商店,粤餐证字2013440605002558,2016-08-06,佛山市南海区西樵山东湖票房旁,饮品店 ,22.932934,112.973791,西樵镇,
 佛山市南海区弥香茶餐厅,粤餐证字2013440605002554,2016-08-06,佛山市南海区桂城街道海棠邨小商场首层十九号铺,小型餐馆 ,23.162283,112.893964,西南街道,月桂一路
 佛山市南海区九江李记风味餐馆,粤餐证字2013440605002555,2016-08-06,佛山市南海区九江镇下北大伸食街3号铺位,小型餐馆 ,22.833696,112.988233,九江镇,江滨路
 佛山市南海区西樵建记小食店,粤餐证字2013440605002556,2016-08-06,佛山市南海区西樵海舟开发区小食店5号铺,小型餐馆 ,23.096486,113.171936,大沥镇,盐步大道
 佛山市南海铭尚美食店,粤餐证字2013440605002560,2016-08-07,佛山市南海区大沥镇太平冲表东鸿得利休闲美食广场有限公司商铺B区B1201号商铺,中型餐馆 ,23.112067,113.104895,大沥镇,新城大道辅路
 佛山市南海区沙头畅兴小食店,粤餐证字2013440605002561,2016-08-07,佛山市南海区九江镇沙头青平购物中心B1号铺,小吃店 ,22.914056,113.02192,九江镇,清平路
 佛山市南海区蜜巢甜品店,粤餐证字2013440605002562,2016-08-08,佛山市南海区大沥镇教育路21号之一,饮品店（甜品店） ,23.1167,113.121183,大沥镇,教育路
 佛山市南海星会俱乐部,粤餐证字2013440605002563,2016-08-08,佛山市南海区盐步雍景豪园购物中心二楼,小型餐馆 ,23.098012,113.194898,大沥镇,穗盐东路辅路
 深圳市百味园餐饮管理有限公司佛山南海分公司,粤餐证字2013440605002564,2016-08-08,佛山市南海区狮山镇松岗商业大道南（综合楼A）一楼19、20号,二楼17、18号商铺,食堂 ,23.147192,113.096797,狮山镇,松岗大道
 佛山市南海区5168小食店,粤餐证字2013440605002565,2016-08-08,佛山市南海区狮山镇官窑思贤路7号楼地下铺位之一,小吃店 ,23.0959,112.973716,狮山镇,思贤路
 佛山市茗诚轩茶艺有限公司,粤餐证字2013440605002566,2016-08-08,佛山市南海区桂城街道佛平二路115号第二层202号,大型餐馆 ,23.040011,113.13674,桂城街道,佛平二路
 佛山市南海区章鱼哥小食店,粤餐证字2013440605002567,2016-08-08,佛山市南海区狮山镇官窑凤源西路十一号自编24号,小吃店 ,23.229884,113.070702,狮山镇,凤源西路
 佛山市南海皓雅少儿托管中心,粤餐证字2013440605002568,2016-08-08,佛山市南海区大沥体育路荔景楼二楼,食堂 ,23.118086,113.120466,大沥镇,竹冠路新区二街
 佛山市南海区创春园凉茶店,粤餐证字2013440605002569,2016-08-08,佛山市南海区罗村外滩东区1号庆业大厦二幢123A-5号车库,饮品店（凉茶店） ,23.056791,113.043807,狮山镇,外滩中路
 佛山市南海区蔡标小食店,粤餐证字2013440605002570,2016-08-08,佛山市南海区狮山镇官窑教育路43号首层店铺南4号,小吃店 ,23.092593,112.9764,狮山镇,教育路
 佛山市南海区九江下西沃记小食,粤餐证字2013440605002571,2014-10-25,佛山市南海区九江下西五约（太平西街102号地铺）,小吃店 ,22.835741,113.006703,九江镇,儒林西路
 佛山市康莉鞋业有限公司,粤餐证字2013440605002572,2016-08-11,佛山市南海区里水镇岗联工业区内一厂房（岗联市场旁边）,食堂 ,23.202694,113.10817,里水镇,兴业路
 佛山市南海区西樵为群小食店,粤餐证字2013440605002574,2016-08-11,佛山市南海区西樵官山圩长提路50号南边后座铺,小吃店 ,22.943266,112.975974,西樵镇,江浦西路
 佛山市南海金永恒体育用品有限公司,粤餐证字2013440605002573,2016-08-11,佛山市南海区西樵大同龙高路朝柏路口,食堂 ,22.873171,112.974867,西樵镇,S362(龙高路)
 佛山市南海区大沥云涛饮品店,粤餐证字2013440605002575,2016-08-11,佛山市南海区大沥镇盐步河西大道“北海”东侧1号,饮品店 ,23.112067,113.104895,大沥镇,新城大道辅路
 佛山市南海区西樵黄志旺甜品店,粤餐证字2013440605002576,2016-08-11,佛山市南海区西樵镇太平开发区官太路的商铺首层,饮品店 ,22.93124,112.910505,西樵镇,胜意街
